,token_address,balance
UNI,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,227040881.1894977
ETH,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0.001659833684664797
ACE,0xec5483804e637d45cde22fa0869656b64b5ab1ab,45.0
DOTC,0xc0748cf90e231b8f21f75b7ad69732f19c76b751,1.72
Uniswap,0x072e5c8646ea5bc8121b82f09de6e3f22c5373c9,75792689.35616438
SafeX,0x1f74e64e053346cf1128b8023e8849c137c9cff4,0.0
UNI-V1,0x22d8432cc7aa4f8712a655fc4cdfb1baec29fca9,22.45
UNI,0x42c181d5ccff87aab9affa18f2738959ba12cea8,75792689.35616438
GCR,0x50f7517029c505933cb5d6e9c897245226f4317b,1000000.0
SDOG,0x537edd52ebcb9f48ff2f8a28c51fcdb9d6a6e0d4,735.0
UNI-V3,0x84789b26db229ec68052e67b18933c763f7226f3,500000.0
ElonGate,0xa61c416a6ef95c3e31533636acdb55d084663315,0.0
UNI-V3,0xad1b76e3c019359bf78b6ab5e0f84e3488ffc2a2,5000.0
UNI-V3,0xb65485b86e7966e0f2b91d17ad941a6cb4c75f58,3562.7621051250085
WJXN,0xca1262e77fb25c0a4112cfc9bad3ff54f617f2e6,10
EAT,0xd3bd7287374ddc0838b8b2c40f4c6d5319be999c,0.1
SOCKSCLASSIC,0xf7a5a8a95491ec170738434963b649671b563b88,1.0
